id,pH,EC,OC,N,P,K,S,Ca,Mg,Zn,Cu,Fe,Mn,B,Mo,Tex,District,label
2285,5.6013286,0.081,2.78,150.53,25.7,53.8,7.81,1644,504,2.84,0.44,21.08,24.11,0.23,0.09,5,0,7
2286,7.563494235,0.402260474,6.263913198,173.6548879,66.20279309,67.08005444,2350,166,22.41854902,3.358834069,1.545591924,7.681110806,6.608126495,1.296569506,0.160546444,14,2,7
2287,6.79,0.324912587,7.137306972,177.5637791,69.92724419,95.74161183,950,294,32.35519468,7.63731482,1.739952913,16.74188953,10.92749291,1.145433142,0.114543314,12,2,7
2288,7.019092089,0.327323101,6.468421518,174.6896582,69.69819303,92.73555382,1712.431962,337,27.88874368,0.693938607,1.604482911,28.86330757,2.648695883,0.675136076,0.372486392,10,2,7
2289,6.556378464,0.228727569,7.044930682,179.5716968,61.05415994,95.74163934,2909.094616,906,10.26823001,1.513580761,0.780444537,12.7480506,26.02874377,0.9,0.11,14,2,7
2290,6.51955316,0.203590864,6.927596285,178.7535211,18.50883709,86.99523246,909.0863766,72,28.68132868,1.141867132,0.582750841,14.26624954,24.5157946,1.15451826,0.143634551,14,2,7
2291,7.104823577,1.201386269,13.87928323,264.3689032,36.17227563,67.89256556,248.7683093,90,5.651764232,5.084812503,17.93339004,6.03483465,8.678513112,0.556158454,0.850244123,12,1,7
2292,5.903487395,0.194356757,6.633796048,172.2119373,67.30006814,56.02789916,2289.000681,473,14.43889848,3.670020441,0.46249489,11.73653305,5.538236657,0.532997956,0.104198501,9,2,7
2293,6.919494504,0.295594018,8.208694736,186.8825885,65.78764342,81.61109885,1050,382,20.11192932,1.804760692,0.836263741,16.15478036,20.95632472,0.850280831,0.160168499,14,2,7
2294,6.860624184,0.840624184,17.89441201,298.7127625,38.52291089,74.00482972,902.7233891,20,1.762454017,1.971419249,25.71096773,18.71276254,10.83877003,0.773815712,0.73,15,1,7
2295,6.751164481,0.399255034,5.702347342,169.0321611,70.41182861,51.2752318,800,139,22.02735776,3.007134745,3.058188128,26.58523015,10.22432545,0.76377078,0.106377078,10,2,7
2296,7.491061593,0.299313406,7.441347827,189.0106812,73.89580435,64.73922464,1204.481884,180,40.99408695,3.558397824,1.301875362,12.62787681,14.81447536,0.926891305,0.345657971,14,2,7
2297,7.28464109,0.557001341,4.988523519,156.494676,24.09613962,80.59813987,1208.843081,714,17.81369761,1.978976033,1.848031956,14.65987987,2.741954629,1.258510702,0.13829786,14,2,7
2298,6.66460488,0.342108216,8.904674726,192.5985404,31.24595479,83.9920976,100,240,26.09714349,1.673084846,1.428489366,14.35421178,6.777112157,0.88920976,0.35460488,14,2,7
2299,7.524781343,0.306366158,6.507094451,174.8093181,46.22672597,86.18663701,2000,510,24.83996718,8.004576981,2.898414338,18.23890883,14.48646495,0.828197797,0.11140989,14,1,7
2300,5.875396925,0.291428077,9.045396925,204.4755641,61.28124607,49.5,200,274,13.51116156,0.650145644,0.526152567,9.004856154,11.85474153,0.819064101,0.13618718,14,2,7
2301,6.563102458,0.594688718,6.56012148,176.3955551,73.61925323,91.65538186,2600,86,38.53390621,2.971753461,0.932258687,14.82487004,12.09316838,0.553107637,0.299039928,14,2,7
2302,5.984586481,0.181557925,6.69181981,176.9814535,63.64878875,57.71400756,3435.609859,551,13.82066293,0.918699531,0.671496809,15.01308544,4.669234175,0.828780281,0.13,9,2,7
2303,5.949580548,0.150080689,7.030620468,176.3869504,17.97561905,89,1119.953394,330,21.30806891,0.740372847,0.423944073,14.9053625,19.81672866,1.019254307,0.089953394,14,2,7
2304,5.958494896,0.331397958,8.866989792,194.2059001,56.02335835,97.44268683,2601.475013,331,16.22065019,2.335099413,0.667609888,12.23718862,9.419409995,0.814750133,0.149440085,14,2,7
2305,6.880248111,0.322303369,7.913256611,185.5307683,64.82828715,80.53182304,1050,379,22.97909636,1.980279283,0.934379723,19.04920184,19.50638853,0.872084383,0.17325063,14,2,7
2306,6.171501451,0.289532127,8.133871493,190.6324831,50.61808207,111.8931546,1531.562802,371,10.05372944,0.831256046,0.594565705,11.81188891,6.411953564,0.552502419,0.134187923,12,2,7
2307,7.322909678,0.448294678,7.983441129,185.427871,71.87335485,99.2204758,750,150,20.21479032,3.468264517,1.156454839,6.357584675,4.084429835,1.119620968,0.077194355,15,2,7
2308,6.817481698,0.349724256,6.668308744,175.9992642,73.09282953,85.06746629,1721.047791,342,26.14834628,0.828345535,1.669963209,38.57506966,3.763584115,0.657904419,0.374209558,11,2,7
2309,6.685920241,0.303837484,9.845530798,220.3349934,29.84145297,49.81516578,200,300,20.358622,1.795281784,1.48448605,9.002082,7.55315859,0.409867069,0.220116083,14,2,7
2310,6.648425756,0.223517741,5.1237661,163.4085677,65.65340344,53.92480945,800,122,25.65024965,2.33122208,1.592809468,23.38410777,10.67853876,0.709697766,0.100969777,13,2,7
2311,6.79,0.325075114,7.138899074,177.5704128,69.92591744,95.77428308,950,294,32.38537828,7.639271778,1.737763773,16.7452064,10.91659696,1.144438079,0.114443808,12,2,7
2312,6.61,0.047,9.95,125.44,13.91,95.2,10.42,1244,2304,1.01,0.14,7.85,13.25,0.59,0.09,6,0,7
2313,7.373616745,1.544872468,5.918279866,300.9303925,27.19644206,71.1663832,640.209287,59,4.06222369,2.672583398,25.01163509,20.93039246,4.352975796,1.501988227,0.996232833,18,1,7
2314,6.62476145,0.206124358,6.737106694,169.8024761,30.24632109,77.39652239,1541.396578,734,12.89923503,1.251538501,1.204561148,12.8046613,16.34054806,0.903241067,0.143765476,14,2,7
2315,6.531192516,0.372522515,8.196521642,189.3622971,76.17614968,89.45175551,3550,270,21.23419185,3.128985856,1.088990645,15.67388949,4.56442854,0.8,0.213819883,14,2,7
2316,5.828192626,0.171461494,4.668652773,147.3338275,36.35258352,70.08559154,128.1731324,742,14.00115037,0.735192049,0.842403976,30.99339262,9.351466113,1.481731324,0.294922988,14,2,7
2317,6.552120829,0.593459039,6.579191375,176.5638963,73.71854819,91.68826099,2600,85,38.55166094,2.976356539,0.929562599,14.72327354,12.10336091,0.55376522,0.299894786,14,2,7
2318,6.921039048,0.639811341,8.496344896,190.6682389,57.62711884,82.35350031,132.5350031,259,20.41378034,2.622468728,1.802476043,60.09388304,6.403861539,0.465070006,0.188084008,14,2,7
2319,6.136662765,0.407733864,6.39600679,170.0801217,53.51378675,73.54015452,400,254,19.67989933,1.99665457,1.19532389,14.51271755,10.76135643,0.8,0.159998829,14,2,7
2320,7.519801409,0.366751518,8.185297886,180.2629904,70.81345804,66.68568867,2200,210,19.39464958,4.820871493,1.198524535,5.84936979,1.863262782,0.6,0.119396028,16,2,7
2321,6.125247962,0.295331999,9.295247962,209.4205326,51.44336149,49.5,200,282,15.61927968,1.00410128,0.825453288,9.012663999,10.5117922,0.688933353,0.162213329,14,2,7
2322,7.148503721,1.019487693,9.821184891,293.1598351,28.0865561,53.78246421,591.7716084,42,7.29754236,1.566632798,19.55891213,13.15983514,4.34,1.017716084,0.869783343,15,1,7
2323,6.627694213,0.303023332,8.605151572,200.9042157,53.83197527,79.1,1625.148034,330,17.9461865,1.546151125,1.432605393,24.62503314,4.773845337,0.749703933,0.134970393,11,2,7
2324,6.531526744,0.187399069,6.706550782,168.7996154,26.67362985,78.17217247,1545.314002,741,11.94338343,0.818271339,1.065884317,12.68870553,16.30842518,0.856231972,0.137497596,14,2,7
2325,6.214669647,0.321086802,8.89,195.3650936,58.85160126,98.9,2588.349064,316,16.2,2.376698129,0.666018877,11.17131214,10.41265971,1.056320583,0.188933929,14,2,7
2326,7.047075504,1.027075504,19.63906364,289.7231454,46.64686123,92.51678216,862.7695349,12,2.068766899,4.102291471,34.10793608,9.723145356,21.56637988,1.060151666,0.73,13,1,7
2327,6.468131297,0.630466967,6.220202667,170.3648155,65.72071369,80.496352,1118.200242,182,27.29554133,2.063871127,1.008633988,5.51233086,7.82135806,1.009606788,0.180879612,15,2,7
2328,5.791956535,0.264782614,8.533913069,194.2913043,69.3891294,76.34782772,2622.826085,357,16.51956519,1.395652247,0.488260883,10.02521756,9.410869566,1.028260853,0.286086946,14,2,7
2329,6.61,0.047,9.95,125.44,13.91,95.2,10.42,1244,2304,1.01,0.14,7.85,13.25,0.59,0.09,6,0,7
2330,6.17079672,0.2130044,7.758175879,183.2692313,20.28609907,89,1144.532969,330,27.60044003,0.543736249,0.453439563,8.912862189,14.15851057,1.412527502,0.114532969,14,2,7
2331,6.850937754,0.472914997,8.041368251,192.5905128,68.88620783,101.6417055,1127.693995,578,31.87414308,4.298911436,1.231842611,8.467131907,12.35822872,1.038469974,0.436303812,14,2,7
2332,6.341531743,0.309959072,6.462831775,174.7130906,42.99795359,104.3482598,2160.507573,514,15.93125684,3.448530455,0.964131808,22.19806607,37.65172351,1.03695456,0.149928779,14,2,7
2333,6.663889304,0.230877786,6.542317504,172.0996934,58.2588781,101.0365482,2935.972326,882,10.61764024,1.11041511,0.70787472,11.79657966,30.10340462,0.9,0.11,14,2,7
2334,6.61,0.047,9.95,125.44,13.91,95.2,10.42,1244,2304,1.01,0.14,7.85,13.25,0.59,0.09,6,0,7
2335,6.520812274,0.375669309,7.36298517,180.1776368,20.1877086,76.51624547,1391.2711,224,17.23338618,2.953032734,1.053459851,21.87284248,43.24985922,0.930168797,0.140152942,14,2,7
2336,6.567818779,0.290230866,9.167932921,196.1602689,46.42201545,82.05637558,100,240,22.45798609,3.163590803,1.401389258,19.99103431,8.519261977,0.695637558,0.257818779,14,2,7
2337,7.109620433,0.930380158,10.50164243,291.8345631,28.26234096,50.89051967,583.6709234,39,7.834617776,1.376266701,18.62652329,11.83456308,4.34,0.936709234,0.847911493,15,1,7
2338,5.936539349,0.236346065,8.458323004,191.2275007,46.07761603,93.08521908,2066.539349,665,11.13078697,1.011955895,0.502696743,23.951677,38.99039781,0.682696743,0.084961805,14,2,7
2339,7.401578851,0.279518851,7.080908115,177.8024576,65.39087693,58.53311762,2050,208,20.44565724,3.657473471,2.23746928,15.19269316,9.835811303,0.494605287,0.181618414,14,2,7
2340,7.306643926,0.27137027,7.296885068,179.2581265,65.13771714,62.05362107,2050,215,19.8048465,3.448616638,2.219273419,15.37148727,9.736920756,0.518339018,0.174498294,14,2,7
2341,7.669755612,0.170906668,6.620588854,173.2709997,66.21927735,113.7,1652.180554,123,19.56947224,7.118263988,1.335638892,6.535929595,28.76076163,0.613083324,0.120030549,14,2,7
2342,6.534269038,0.301722954,9.704269038,217.5157414,35.33815664,49.5,200,295,19.07039501,1.583547804,1.315426452,9.025445907,8.313303922,0.475901543,0.204819691,14,2,7
2343,7.466356083,0.296524074,7.470038097,189.3326498,73.94840318,64.81732593,1205.278836,180,40.7263111,3.510102537,1.289761693,12.67728783,14.75836994,0.931673016,0.343107725,14,2,7
2344,6.23159907,0.615495678,6.442644616,173.5198859,65.52619678,103.6886801,1300.102504,479,24.28482934,2.995694812,0.899446476,16.34796154,4.928052415,0.501640072,0.110123005,14,2,7
2345,5.926286313,0.29208781,8.339121904,184.5891252,58.74466811,64.25292973,1349.529297,150,15.48776173,2.399529297,2.11,27.44797276,16.50535793,0.609414054,0.32830547,14,2,7
2346,6.572508424,0.366494059,6.843543182,175.5389608,63.68373825,61.3800674,2252.837382,451,19.82723001,2.585121474,0.733719632,9.982613049,3.592651176,0.641487853,0.183757759,11,2,7
2347,6.550066309,0.540172551,7.834269863,176.225135,64.85396294,81.56877411,674.6877411,645,23.98750964,3.193754821,1.279316887,27.34112577,6.422704712,1.341881268,0.332123361,11,2,7
2348,6.800123614,0.747871005,16.70558317,508.6182418,27.50354256,101.4850701,453.9575995,78,1.425574201,0.837703196,20.42069048,14.30289889,8.463657208,0.625574201,0.842977006,15,1,8
2349,6.295621127,0.581289995,17.79073946,506.9381534,28.83143118,96.96358557,472.9954292,38,1.392257999,0.970968004,32.23366379,25.57329406,8.168570848,0.592257999,0.628801422,13,1,8
2350,6.213217942,0.554081396,17.96798405,506.6637352,29.04832259,96.22506646,476.1049833,32,1.386816279,0.992734883,34.16314214,27.41415012,8.120372759,0.586816279,0.593818938,12,1,8
2351,7.151581997,0.863918584,15.94961608,509.7886646,26.57847757,104.634933,440.695019,106,1.448783717,0.744865133,12.19125927,6.451451229,8.669227206,0.648783717,0.992181037,17,1,8
2352,7.061385622,0.834136762,16.14362338,509.4882936,26.81588124,103.8265693,444.0986558,99,1.442827352,0.76869059,14.30321591,8.466404222,8.616470835,0.642827352,0.953890122,17,1,8
2353,7.062831787,0.834614269,16.14051276,509.4931096,26.81207483,103.8395302,444.0440835,99,1.442922854,0.768308585,14.26935382,8.434097444,8.617316705,0.642922854,0.95450406,17,1,8
2354,6.601634419,0.68233212,17.13252219,507.9572354,28.0259811,99.70615753,461.4477578,62,1.412466424,0.890134304,25.0683337,18.7370726,8.347559755,0.612466424,0.758712725,14,1,8
2355,6.90348075,0.781998361,16.48326782,508.9624406,27.23149878,102.4113841,450.0573302,86,1.432399672,0.810401311,18.00057338,11.99393947,8.524111382,0.632399672,0.886855035,16,1,8
2356,6.180903476,0.543411525,18.03749064,506.556122,29.1333767,95.93545568,477.3243971,29,1.384682305,1.00127078,34.91978843,28.13604311,8.101471844,0.584682305,0.580100532,12,1,8
2357,6.303624827,0.583932726,17.77352396,506.9648072,28.81036484,97.03531684,472.6934028,39,1.392786545,0.968853819,32.04625641,25.39449444,8.173252257,0.592786545,0.632199219,13,1,8
2358,7.059145752,0.833397182,16.14844121,509.4808344,26.82177675,103.806495,444.1831792,99,1.442679436,0.769282254,14.35566266,8.516442057,8.615160723,0.642679436,0.952939235,17,1,8
2359,6.992948345,0.811539548,16.29082809,509.2603846,26.99601332,103.2132163,446.6811945,93,1.43830791,0.786768362,15.9056812,9.995267152,8.576441485,0.63830791,0.924836562,16,1,8
2360,6.176424426,0.541932594,18.04712482,506.5412059,29.1451659,95.89531325,477.4934179,29,1.384386519,1.002453925,35.02466579,28.23610338,8.098852023,0.584386519,0.578199049,12,1,8
2361,6.15602115,0.535195663,18.09101111,506.4732591,29.19886886,95.7124537,478.2633528,27,1.383039133,1.00784347,35.50241043,28.69190488,8.086918031,0.583039133,0.569537281,12,1,8
2362,6.194247723,0.547817644,18.00878792,506.6005608,29.09825364,96.05505034,476.8208407,30,1.385563529,0.997745885,34.60733163,27.83793767,8.10927697,0.585563529,0.585765543,12,1,8
2363,6.68119355,0.708601644,16.961395,508.2221823,27.81657547,100.4191875,458.4455264,69,1.417720329,0.869118685,23.20544913,16.95975163,8.394094341,0.617720329,0.792487828,15,1,8
2364,6.35871254,0.602122065,17.6550334,507.1482597,28.66536982,97.52902748,470.6146211,43,1.396424413,0.954302348,30.7563724,24.1638557,8.205473373,0.596424413,0.655585512,13,1,8
2365,6.216306216,0.555101109,17.96134135,506.6740198,29.04019402,96.25274439,475.9884447,32,1.387020222,0.991919113,34.09082992,27.34515924,8.122179108,0.587020222,0.595129997,12,1,8
2366,6.766481854,0.736762876,16.77794469,508.5062084,27.59209021,101.1835638,455.2270998,76,1.423352575,0.846589699,21.20841545,15.05444311,8.443979952,0.623352575,0.828695127,15,1,8
2367,6.701515078,0.715311582,16.91768455,508.2898568,27.76308767,100.6013144,457.6786763,70,1.419062316,0.863750734,22.72961864,16.50577637,8.405980517,0.619062316,0.801114892,15,1,8
2368,6.821662075,0.754982761,16.65925516,508.689969,27.44685171,101.6781035,453.1448274,80,1.426996552,0.832013792,19.91636538,13.8217378,8.476255176,0.626996552,0.852120692,16,1,8
2369,6.685764936,0.710111064,16.95156221,508.2374059,27.80454323,100.4601574,458.2730213,69,1.418022213,0.867911149,23.0984097,16.85762859,8.39676817,0.618022213,0.794428511,15,1,8
2370,6.8308849,0.758028033,16.63941738,508.7206827,27.42257654,101.7607609,452.7967962,81,1.427605607,0.829577573,19.70041205,13.61570336,8.481649659,0.627605607,0.856036043,16,1,8
2371,6.208291111,0.552454612,17.97858138,506.6473279,29.06129038,96.1809109,476.2909015,31,1.386490922,0.99403631,34.27850437,27.52421367,8.117491027,0.586490922,0.591727358,12,1,8
2372,6.761574132,0.735142402,16.78850092,508.4898648,27.60500771,101.1395795,455.4122969,75,1.42302848,0.847886078,21.32333023,15.16407977,8.441109398,0.62302848,0.82661166,15,1,8
2373,6.844017855,0.762364386,16.61116914,508.764418,27.38800961,101.8784619,452.301213,82,1.428472877,0.826108491,19.39290268,13.32231811,8.489331198,0.628472877,0.861611353,16,1,8
2374,6.599167629,0.681517613,17.13782812,507.9490205,28.03247388,99.68404951,461.5408442,62,1.412303523,0.890785909,25.12609381,18.79217975,8.346116915,0.612303523,0.757665503,14,1,8
2375,6.34101208,0.596277574,17.69310609,507.0893138,28.71195877,97.37039128,471.282563,42,1.395255515,0.958977941,31.17083036,24.55927731,8.195120273,0.595255515,0.648071166,13,1,8
2376,7.067791352,0.836251861,16.12984502,509.5096259,26.79902088,103.8839791,443.8569301,99,1.443250372,0.766998511,14.15322514,8.323302628,8.620217583,0.643250372,0.956609536,17,1,8
2377,6.361582759,0.603069779,17.64885973,507.1578181,28.65781519,97.55475114,470.506311,43,1.396613956,0.953544177,30.68916596,24.0997361,8.20715218,0.596613956,0.656804001,13,1,8
2378,6.475927439,0.640825098,17.40291079,507.5386074,28.35685136,98.57953837,466.1914174,52,1.40416502,0.923339922,28.0117745,21.5453191,8.27403303,0.60416502,0.705346554,14,1,8
2379,6.863438413,0.768776835,16.56939662,508.8290921,27.33689323,102.0525141,451.5683618,83,1.429755367,0.820978532,18.93816847,12.88847016,8.500690393,0.629755367,0.86985593,16,1,8
2380,6.112495286,0.520823915,18.18463278,506.3283098,29.31343222,95.32236341,479.9058383,24,1.380164783,1.019340868,36.52157265,29.66425625,8.061459507,0.580164783,0.551059319,12,1,8
2381,7.019354134,0.82025844,16.23403073,509.3483208,26.92651129,103.449872,445.6847497,96,1.440051688,0.779793248,15.28738717,9.405371806,8.59188638,0.640051688,0.936046566,17,1,8
2382,7.119534356,0.853336816,16.01854874,509.6819399,26.66282938,104.3477136,441.9043639,104,1.446667363,0.753330548,12.94165782,7.167383452,8.650482359,0.646667363,0.978575906,17,1,8
2383,7.114594323,0.851705673,16.02917448,509.6654886,26.67583192,104.3034397,442.0907803,103,1.446341135,0.754635462,13.05732916,7.277741925,8.647592906,0.646341135,0.976478722,17,1,8
2384,7.015775855,0.819076933,16.24172741,509.3364045,26.93592959,103.4178025,445.8197791,95,1.439815387,0.780738453,15.37117291,9.485309209,8.589793424,0.639815387,0.934527485,17,1,8
2385,6.510353818,0.652192298,17.3288616,507.6532538,28.26623854,98.88807667,464.8923088,55,1.40643846,0.914246161,27.20567758,20.77624678,8.294169214,0.60643846,0.719961526,14,1,8
2386,6.13626421,0.528672145,18.13350717,506.4074648,29.25087062,95.53538679,479.0088977,26,1.381734429,1.013062284,35.96502105,29.13326746,8.075362085,0.581734429,0.5611499,12,1,8
2387,6.138912035,0.529546427,18.12781185,506.4162825,29.24390134,95.5591173,478.9089798,26,1.381909285,1.012362859,35.90302197,29.07411604,8.076910813,0.581909285,0.562273977,12,1,8
2388,6.201732685,0.550289094,17.99268819,506.6254871,29.07855265,96.12213255,476.5383892,31,1.386057819,0.995768725,34.43207053,27.67072643,8.113654967,0.586057819,0.588943121,12,1,8
2389,6.468233861,0.638284765,17.41945924,507.5129863,28.37710144,98.51058649,466.4817411,52,1.403656953,0.925372188,28.19192035,21.71719073,8.269533013,0.603656953,0.702080413,14,1,8
2390,6.313814696,0.587297305,17.75160612,506.9987414,28.78354434,97.12664115,472.3088794,40,1.393459461,0.966162156,31.80765966,25.1668566,8.17921237,0.593459461,0.636525107,13,1,8
2391,6.454160724,0.633637975,17.44972976,507.4661201,28.414143,98.38445931,467.0128029,51,1.402727595,0.92908962,28.52144419,22.03157931,8.261301555,0.602727595,0.696105968,13,1,8
2392,6.991605706,0.811096224,16.29371603,509.2559133,26.99954725,103.2011832,446.7318602,93,1.438219245,0.787123021,15.93711923,10.02526122,8.575656167,0.638219245,0.924266573,16,1,8
2393,6.699507745,0.714648784,16.92200221,508.283172,27.76837112,100.5833241,457.7544247,70,1.418929757,0.864280973,22.77662053,16.55061942,8.404806417,0.618929757,0.800262722,15,1,8
2394,6.888117334,0.776925535,16.51631366,508.9112775,27.27193645,102.2736931,450.6370817,85,1.431385107,0.814459572,18.36030921,12.33715238,8.515125233,0.631385107,0.880332831,16,1,8
2395,6.963111606,0.801687794,16.35500522,509.1610226,27.07454587,102.9458116,447.8071092,91,1.436337559,0.794649764,16.60431126,10.66180865,8.558989807,0.636337559,0.912170021,16,1,8
2396,6.215999161,0.554999723,17.96200181,506.6729972,29.04100221,96.24999248,476.0000317,32,1.386999945,0.992000222,34.09801965,27.35201875,8.121999509,0.586999945,0.594999644,12,1,8
2397,6.577157519,0.674250124,17.18517062,507.8757227,28.09040615,99.48678908,462.3714144,61,1.410850025,0.896599901,25.64146262,19.28387731,8.333243077,0.610850025,0.748321588,14,1,8
2398,7.117689886,0.852727793,16.02251609,509.6757975,26.66768417,104.3311829,441.9739666,103,1.446545559,0.753817766,12.98484625,7.208588204,8.649403518,0.646545559,0.977792876,17,1,8
2399,7.034910093,0.825394842,16.20057074,509.4001251,26.88556683,103.5892886,445.0977323,97,1.441078968,0.775684126,14.92314292,9.05785755,8.600985149,0.641078968,0.942650511,17,1,8
2400,6.465858532,0.637500459,17.42456844,507.5050761,28.38335349,98.48929817,466.5713761,52,1.403500092,0.925999633,28.24753889,21.77025467,8.26814367,0.603500092,0.701072018,14,1,8
2401,6.718269888,0.720843831,16.8816459,508.3456535,27.71898775,100.7514754,457.0464193,72,1.420168766,0.859324935,22.33730318,16.13148023,8.415780501,0.620168766,0.808227783,15,1,8
2402,7.121468583,0.853975475,16.01438833,509.6883812,26.65773835,104.3650486,441.8313742,104,1.446795095,0.75281962,12.89636771,7.124173547,8.651613699,0.646795095,0.97939704,17,1,8
2403,6.428275516,0.625090972,17.50540738,507.3799175,28.48227482,98.15246924,467.9896032,49,1.401018194,0.935927222,29.12754877,22.60984508,8.246161151,0.601018194,0.685116964,13,1,8
2404,6.923578353,0.788634362,16.44003901,509.0293694,27.17860037,102.5915041,449.2989301,88,1.433726872,0.80509251,17.5299861,11.5449666,8.535866584,0.633726872,0.895387037,16,1,8
2405,6.889225697,0.777291504,16.51392963,508.9149686,27.26901916,102.2836265,450.5952567,85,1.431458301,0.814166797,18.33435678,12.31239197,8.515773521,0.631458301,0.880803362,16,1,8
2406,6.50532462,0.650531714,17.33967912,507.6365056,28.27947576,98.84300367,465.0820898,55,1.406106343,0.915574629,27.32343672,20.88859716,8.291227608,0.606106343,0.71782649,14,1,8
2407,6.26328017,0.570611377,17.86030303,506.8304519,28.91655502,96.67373737,474.2158426,36,1.390122275,0.979510898,32.99093036,26.29577884,8.149654439,0.590122275,0.61507177,12,1,8
2408,6.699226222,0.714555828,16.92260775,508.2822345,27.76911211,100.580801,457.7650482,70,1.418911166,0.864355338,22.78321242,16.55690854,8.404641753,0.618911166,0.800143208,15,1,8
2409,6.129501791,0.526439271,18.14805275,506.3849446,29.26866981,95.4747802,479.2640834,25,1.381287854,1.014848584,36.12336373,29.28433735,8.071406708,0.581287854,0.558279062,12,1,8
2410,6.890202586,0.777614061,16.5118284,508.9182218,27.26644791,102.2923817,450.558393,85,1.431522812,0.813908751,18.31148286,12.29056866,8.516344909,0.631522812,0.881218079,16,1,8
2411,6.324253132,0.590743959,17.72915364,507.0335034,28.75606959,97.22019316,471.9149762,40,1.394148792,0.963404833,31.56324271,24.93366589,8.185317869,0.594148792,0.640956518,13,1,8
2412,6.26666531,0.571729112,17.85302179,506.841725,28.90764508,96.70407589,474.0881015,36,1.390345822,0.97861671,32.91166698,26.22015609,8.151634427,0.590345822,0.616508858,12,1,8
2413,6.131745633,0.527180162,18.14322638,506.3924171,29.26276385,95.4948901,479.1794101,25,1.381436032,1.014255871,36.07082396,29.23421077,8.072719144,0.581436032,0.559231636,12,1,8
2414,6.605658403,0.683660793,17.12386683,507.970636,28.01538968,99.74222153,461.2959093,63,1.412732159,0.889071365,24.97411174,18.64717833,8.349913405,0.612732159,0.76042102,14,1,8
2415,6.26962871,0.572707593,17.84664768,506.8515937,28.89984519,96.73063467,473.9762751,36,1.390541519,0.977833926,32.84227869,26.15395485,8.153367736,0.590541519,0.617766905,12,1,8
2416,6.890244894,0.777628031,16.5117374,508.9183627,27.26633655,102.2927608,450.5567965,85,1.431525606,0.813897575,18.3104922,12.2896235,8.516369655,0.631525606,0.88123604,16,1,8
2417,6.30874426,0.585623105,17.76251235,506.9818559,28.79689011,97.08119856,472.5002166,39,1.393124621,0.967501516,31.92638439,25.28012822,8.176246643,0.593124621,0.634372563,13,1,8
2418,6.646613226,0.697183612,17.03577533,508.1070233,27.90759349,100.1092695,459.7504443,66,1.415436722,0.87825311,24.01515069,17.73226303,8.373868113,0.615436722,0.777807502,15,1,8
2419,7.155680596,0.865271895,15.94080023,509.8023137,26.56768975,104.6716657,440.5403549,106,1.449054379,0.743782484,12.09529019,6.359890081,8.6716245,0.649054379,0.993921008,17,1,8
2420,6.923964128,0.78876174,16.43920924,509.0306541,27.17758499,102.5949615,449.2843725,88,1.433752348,0.804990608,17.52095316,11.53634855,8.536092226,0.633752348,0.895550809,16,1,8
2421,6.588699936,0.6780613,17.16034353,507.9141611,28.06002564,99.59023528,461.9358515,61,1.41161226,0.89355096,25.37119583,19.02602406,8.339994302,0.61161226,0.753221671,14,1,8
2422,7.15474195,0.864961964,15.9428192,509.7991878,26.57016034,104.6632533,440.5757755,106,1.448992393,0.744030428,12.11726869,6.38085909,8.67107548,0.648992393,0.993522526,17,1,8
2423,7.169287403,0.869764709,15.91153275,509.8476269,26.53187561,104.7936135,440.0268904,107,1.449952942,0.740188233,11.77668552,6.055919138,8.679583198,0.649952942,0.999697483,17,1,8
2424,6.415516824,0.620878197,17.53285061,507.3374287,28.51585666,98.03812248,468.4710632,48,1.400175639,0.939297443,29.42629475,22.89486944,8.23869852,0.600175639,0.679700538,13,1,8
2425,6.932827095,0.791688192,16.42014549,509.0601695,27.15425699,102.6743938,448.9499209,89,1.434337638,0.802649447,17.31342595,11.3383532,8.541276225,0.634337638,0.899313389,16,1,8
2426,6.75789981,0.733929182,16.79640418,508.4776286,27.6146788,101.1066492,455.5509506,75,1.422785836,0.848856654,21.40936483,15.24616274,8.438960266,0.622785836,0.825051806,15,1,8
2427,6.460116811,0.635604607,17.43691856,507.485955,28.39846613,98.43783934,466.7880449,51,1.403120921,0.927516314,28.38198185,21.89852257,8.264785304,0.603120921,0.698634495,13,1,8
2428,6.469491914,0.63870016,17.41675324,507.5171759,28.37379015,98.52186149,466.4342674,52,1.403740032,0.925039872,28.16246292,21.6890863,8.270268855,0.603740032,0.702614492,14,1,8
2429,6.803380466,0.74894638,16.69857787,508.6290878,27.49497028,101.5142589,453.8346994,78,1.425789276,0.836842896,20.34443097,14.23014204,8.465562159,0.625789276,0.844359632,15,1,8
2430,6.902579209,0.781700682,16.48520698,508.9594383,27.2338717,102.4033042,450.0913506,86,1.432340136,0.810639454,18.02168305,12.01407956,8.523584066,0.632340136,0.886472306,16,1,8
2431,6.992578879,0.811417554,16.29162279,509.2591542,26.99698578,103.209905,446.6951367,93,1.438283511,0.786865957,15.9143323,10.0035209,8.576225382,0.638283511,0.924679713,16,1,8
2432,7.01847658,0.819968682,16.2359183,509.3453984,26.92882108,103.4420071,445.7178649,95,1.439993736,0.780025054,15.30793517,9.424976017,8.591373094,0.639993736,0.93567402,17,1,8
2433,6.633450348,0.692837379,17.06408793,508.0631884,27.94223918,99.99130029,460.2471567,65,1.414567476,0.881730097,24.32336072,18.02631676,8.366169071,0.614567476,0.772219487,14,1,8
